date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST,ma10,ta10
2018-11-01,sh.600375,3.6400000000,3.7200000000,3.6100000000,3.6500000000,3.6500000000,5066000,18504852.0000,2,0.911576,1,0.000000,0,3.5820000000000163,0.8256020000000008
2018-11-02,sh.600375,3.6700000000,3.7700000000,3.6500000000,3.7600000000,3.6500000000,8211900,30337356.0000,2,1.47765,1,3.013695,0,3.6180000000000163,0.9025912000000009
2018-11-05,sh.600375,3.7300000000,3.7800000000,3.6800000000,3.7600000000,3.7600000000,4657400,17369637.0000,2,0.838053,1,0.000000,0,3.637000000000016,0.9026902000000009
2018-11-06,sh.600375,3.7200000000,3.7600000000,3.6900000000,3.7500000000,3.7600000000,4310100,16006456.0000,2,0.77556,1,-0.265957,0,3.6540000000000163,0.902836000000001
2018-11-07,sh.600375,3.7300000000,3.7700000000,3.7100000000,3.7400000000,3.7500000000,3762518,14081216.0000,2,0.677028,1,-0.266666,0,3.669000000000017,0.905209800000001
2018-11-08,sh.600375,3.7600000000,3.8000000000,3.7200000000,3.7500000000,3.7400000000,5338553,20041250.0000,2,0.96062,1,0.267379,0,3.6870000000000167,0.914934700000001
2018-11-09,sh.600375,3.7300000000,3.8300000000,3.7200000000,3.7800000000,3.7500000000,4930588,18598182.0000,2,0.88721,1,0.799999,0,3.701000000000017,0.9281348000000008
2018-11-12,sh.600375,3.8300000000,3.9500000000,3.8000000000,3.9400000000,3.7800000000,6767134,26350421.0000,2,1.2176790000000002,1,4.232807,0,3.7390000000000163,0.9876542000000009
2018-11-13,sh.600375,3.9000000000,4.0700000000,3.8800000000,4.0100000000,3.9400000000,10263700,40954108.0000,2,1.8468509999999998,1,1.776654,0,3.7790000000000163,1.080860700000001
2018-11-14,sh.600375,4.0000000000,4.0200000000,3.9400000000,4.0000000000,4.0100000000,7258438,28886665.0000,2,1.306084,1,-0.249382,0,3.8140000000000165,1.089831100000001
2018-11-15,sh.600375,3.9800000000,4.0600000000,3.9600000000,4.0400000000,4.0000000000,8080611,32360824.0000,2,1.454026,1,0.999999,0,3.8530000000000166,1.144076100000001
2018-11-16,sh.600375,4.0600000000,4.0700000000,3.9900000000,4.0500000000,4.0400000000,6230511,25101508.0000,2,1.121119,1,0.247530,0,3.8820000000000165,1.108423000000001
2018-11-19,sh.600375,4.0400000000,4.0800000000,3.9800000000,4.0500000000,4.0500000000,6306912,25384459.0000,2,1.134866,1,0.000000,0,3.9110000000000165,1.138104300000001
2018-11-20,sh.600375,4.0400000000,4.0400000000,3.8700000000,3.9200000000,4.0500000000,5643800,22414197.0000,2,1.0155459999999998,1,-3.209879,0,3.9280000000000164,1.1621029000000012
2018-11-21,sh.600375,3.8800000000,3.9800000000,3.8300000000,3.9600000000,3.9200000000,4082100,15956100.0000,2,0.734533,1,1.020407,0,3.950000000000016,1.1678534000000012
2018-11-22,sh.600375,4.0000000000,4.0200000000,3.9600000000,4.0000000000,3.9600000000,3475740,13873013.0000,2,0.625425,1,1.010100,0,3.9750000000000165,1.134333900000001
2018-11-23,sh.600375,4.0100000000,4.0100000000,3.8100000000,3.8300000000,4.0000000000,5894400,22922840.0000,2,1.0606389999999999,1,-4.250002,0,3.980000000000016,1.151676800000001
2018-11-26,sh.600375,3.8400000000,3.9000000000,3.8100000000,3.8300000000,3.8300000000,2766700,10661158.0000,2,0.49783999999999995,1,0.000000,0,3.9690000000000163,1.079692900000001
2018-11-27,sh.600375,3.8300000000,4.1300000000,3.8300000000,3.9800000000,3.8300000000,8956740,35498157.0000,2,1.611676,1,3.916452,0,3.966000000000016,1.0561754000000012
2018-11-28,sh.600375,3.9500000000,3.9600000000,3.7800000000,3.8900000000,3.9800000000,8153897,31572205.0000,2,1.4672129999999999,1,-2.261304,0,3.955000000000016,1.0722883000000012
2018-11-29,sh.600375,3.8900000000,3.9100000000,3.7900000000,3.8000000000,3.8900000000,4815731,18630603.0000,2,0.8665430000000001,1,-2.313629,0,3.931000000000016,1.0135400000000012
2018-11-30,sh.600375,3.8000000000,3.8300000000,3.7100000000,3.8000000000,3.8000000000,3484800,13127218.0000,2,0.627055,1,0.000000,0,3.9060000000000157,0.9641336000000011
